Korean,English
내가,I
그,that
난,I am
내,my
안,not
수,number
이,this
네,yes
거야,going to be
좀,a little
그래,okay
있어,there is
왜,why
더,more
그리고,and
우리,we
다,all
무슨,what
한,one
하지만,but
잘,well
어떻게,how
할,will do
그냥,just
정말,really
그럼,then
것,thing
게,crab
있어요,there is
있는,present
해,sun
여기,here
넌,you
제가,I am
날,me
우리가,we
건,case
전,jeon
이제,now
지금,now
그게,that is
걸,girl
거,thing
아니,no
네가,you
없어,doesn't exist
돼,Okay
저,I
우린,We
제,my
못,pond
좋아,good
당신이,you
다른,different
나,me
그런,that
그건,that
너무,too
그래서,so
그렇게,like that
다시,again
이건,This is
이런,this
나도,me too
모든,every
당신,you
거예요,Yes
당신은,you are
아,ah
좋은,good
오,oh
때,at the time
너,you
하는,doing
하고,do
아냐,no
나는,I am
아니야,no
알아,know
같이,together
응,huh
이게,this
없어요,no
괜찮아,are you okay
오늘,today
말이야,I mean
줄,line
또,also
널,you
누가,who
어떤,which
아주,very
말,word
아직,yet
안돼,no
진짜,really
모두,every
마,mind
같은,same
여기서,here
어서,hurry
그는,he is
위해,for
해요,do
일이,work
하지,summer solstice
엄마,mom
바로,as soon as
가,go
근데,however
알고,know
이렇게,like this
빨리,hurry
있습니다,there is
이거,this
전에,before
어,uh
아뇨,no
계속,continue
닥터,doctor
얼마나,how much
될,be
알았어,okay
않아,No
제발,please
있지,Yes
겁니다,I will
어디,where
사람이,person
그가,he
안녕,hi
좋아요,great
같아,Same
우리는,we are
그래요,is it so
당신을,you
자,ruler
그걸,that
두,two
아니에요,no
있을,There will be
때문에,because
대해,about
아빠,dad
몇,some
사람,person
했어,I did it
뭐야,what
수도,capital
많이,many
집에,at home
거지,the poor
일을,work
저는,I am
음,hmm
그렇지,yes
함께,together
만약,if
하나,one
저기,excuse me
고마워요,thank you
항상,always
나한테,to me
잠깐,for a moment
가서,go
가장,most
돼요,It's okay
거죠,That's it
가자,let's go
맞아,that's right
보고,report
와,and
그거,that
말을,say
괜찮아요,are you okay
아무도,no one
없는,no
안녕하세요,hello
몰라,I don't know
일,Day
많은,many
당신의,your
아무것도,nothing
그러니까,therefore
큰,big
알아요,i know
그의,his
뭐가,what
고마워,thank you
그만,stop
했어요,i did it
젠장,shit
사람들이,people
거에요,It will be
이걸,This
그럴,That's right
것도,also
말이,words
이미,already
야,hey
그를,him
뭔가,something
온,on
이봐,hey
아니면,or not
같아요,I think
그런데,however
아니라,not
세상에,oh my god
있다고,There is
있고,There is
뭐라고,what
예,yes
절대,absoluteness
말야,I mean
당장,immediately
그래도,still
대한,for
말은,I mean
거기,there
전부,entire
둘,two
그녀는,she is
니가,you
갈,conflict
않아요,No
자기,self
있죠,Yes
하면,underneath
가지고,have
그들이,they
참,really
너도,you also
됐어,it's okay
미안해,Sorry
것을,that
여긴,This is
아무,any
사람은,People
감사합니다,thank you
다들,Everyone
어때,how
씨,seed
곧,soon
엄마가,Mom
나를,me
이젠,yet
아마,maybe
그들은,they
얘기,talk
꼭,please
있잖아,"You know,"
저도,me too
지금은,now
그녀가,she
중,middle
있다,there is
시간,hour
먼저,first
우릴,us
말고,except
사람을,people
수가,medical charge
봐요,see
있는데,There is
알았어요,all right
해야,have to
있었어,there was
우리의,our
않을,won't
방금,just now
완전,perfection
된,done
동안,during
시간이,time
싶어,I want to
본,copy
일은,work
친구,friend
들어,listen
안에,in
번,th
자네,you
합니다,do
사실,actually
한번,once
대체,alternative
같은데,Looks like
생각해,think about it
맞아요,that's right
볼,cheek
혼자,alone
자네가,You
절,I
그러니,so
선생님,teacher
사람들은,people
문제가,problem
다음,next
물론,of course
거의,almost
일이야,It's work
없습니다,doesn't exist
아빠가,Dad
되는,felled
그러면,then
순,net
가는,thin
말도,nonsense
이리,here
있었어요,There was
맙소사,oh my god
내일,tomorrow
있으면,If there is
잠깐만,wait for a sec
싫어,no
중요한,important
내게,to me
말해,say
이상,more
거라고,I guess
아는,know
너는,you
새,bird
적,enemy
전혀,at all
여자,female
새로운,new
너희,you guys
왔어,came
아직도,still
가지,egg plant
나와,come out
알,egg
싶지,I don't want to
여기에,here
원하는,desirous
돈,money
필요,necessary
도움이,helpful
그녀를,her
몰라요,I don't know
작은,small
혹시,if
미안해요,sorry
나쁜,bad
죄송해요,sorry
모르겠어,I don't know
가요,song
알지,You know
밖에,outside
직접,directly
있나,Is there
니,you
해도,chart
하죠,Let's do it
했는데,I did it
필요해,I need it
아니요,no
적이,enemy
있나요,Do you have it?
갖고,have
돈을,money
주세요,please
어디서,where
것이,It is
거요,Yes
위한,for
것은,The thing is
없이,without
나중에,later
아버지,father
나랑,With me
됐어요,That's it
마세요,Don't do it
차,car
언제,when
그저,just
생각,thought
했지,I did it
봤어,I saw it
해서,So
시간을,time
마지막,last
알겠어,okay
왜냐면,Because
위해서,for the sake of
엄청,Very
알겠습니다,All right
오래,long time
기다려,wait
아닙니다,no
있는지,Is there
알겠어요,all right
제일,most
지난,past
그렇죠,That's right
죽은,dead
제대로,properly
아니지,No
있다면,if there is
보면,If you look
우리를,us
짓을,do
남자,man
너가,you are
있다는,There is
누구,who
보여,I see it
왔어요,came
너한테,To you
여러분,everyone
완전히,completely
너의,your
것이다,will
밤,night
소리,sound
없지,No
벌써,already
모르겠어요,I don't know
말이지,That's right
올,all
사람들을,people
처음,first
말이죠,I mean
사람들,people
그녀의,her
멋진,wonderful
왜요,why
정말로,really
이름은,The name is
와서,come
대해서,About
여보,honey
조금,little
않았어,I didn't
말이에요,I mean
이름이,The name is
여보세요,hello
서로,each other
안돼요,No
죽을,dying
첫,first
매우,very
사랑해,love you
오늘은,today
싶은,want to
어디로,where
단지,only
아닌,not
나가,get out
뿐이야,It's just that
미안,sorry
확실히,surely
싶어요,I want to
죄송합니다,sorry
때까지,until
없고,There is no
어때요,how is it
살,fat
당연히,of course
데리고,along
